SA22018_V1_NAME,LATITUDE,LONGITUDE
Takanini South,-37.0415736,174.9388831
Takanini Central,-37.05069884,174.925869
Ardmore,-37.06183843,175.0114799
Glenbrook,-37.20183488,174.7552721
Hingaia,-37.0736996,174.9141945
Takanini South East,-37.04902013,174.9451498
Kawakawa Bay-Orere,-36.98413362,175.1519685
Papakura West,-37.05653671,174.934168
Clevedon,-37.01480977,175.0459067
Papakura North,-37.05741406,174.9479461
Pahurehure,-37.06864785,174.9327286
Papakura Central,-37.06542305,174.9428189
Papakura North East,-37.05143433,174.9659428
Karaka Lakes,-37.08456461,174.9264839
Papakura Kelvin,-37.05933436,174.9623945
Papakura Massey Park,-37.0662997,174.9548386
Rosehill,-37.0807433,174.9381101
Patumahoe,-37.17691755,174.8351407
Papakura East,-37.05846123,174.9792085
Opaheke,-37.07682576,174.9479776
Papakura Industrial,-37.07325298,174.9642956
Red Hill,-37.06738541,174.9772937
Drury,-37.10606959,174.936694
Tamakae,-37.2446936,174.7233294
Hamilton Estate,-37.24583465,174.7395242
Drury Rural,-37.11220768,174.9747615
Waiuku Central,-37.25584046,174.7278117
Waiuku East,-37.25796999,174.7349682
Kendallvale,-37.25314449,174.7507266
Puni,-37.21369487,174.847442
Ramarama,-37.15945142,174.9340816
Hunua,-37.08256361,175.0816926
Pukekohe North West,-37.18225476,174.8958034
Anselmi Ridge,-37.18633345,174.93551
Pukekohe West,-37.20097025,174.8880399
Cape Hill,-37.18797047,174.9107133
Rosa Birch Park,-37.20705288,174.8959015
Rooseville Park,-37.19697684,174.9130763
Cloverlea (Auckland),-37.21592548,174.8926362
